Date,Open,High,Low,Close,Adj Close,Volume,O_C,H_C,L_C,C_C,AC_C,V_C
2012/12/31,71.879997,73.309998,71.82,73.279999,66.316681,8359300,0,0,0,0,0,0
2013/1/2,74.529999,75.150002,74.5,75.139999,67.999939,5037200,0.03686703,0.02509895,0.037315511,0.025382096,0.025382121,-0.397413659
2013/1/3,75.120003,75.370003,74.839996,75.029999,67.900383,2634600,0.007916329,0.002927492,0.004563705,-0.001463934,-0.00146406,-0.476971333
2013/1/4,75.139999,75.519997,74.989998,75.410004,68.24427,2512900,0.000266187,0.001990102,0.002004303,0.005064708,0.005064581,-0.04619297
2013/1/7,75.18,75.279999,74.949997,75.209999,68.063301,2511200,0.000532353,-0.00317794,-0.000533418,-0.002652234,-0.002651783,-0.000676509
2013/1/8,75.110001,75.18,74.699997,75.010002,67.882294,1407900,-0.000931085,-0.001328361,-0.003335557,-0.002659181,-0.002659392,-0.439351704
2013/1/9,75.190002,75.410004,75.110001,75.239998,68.090416,1421900,0.001065118,0.003059377,0.005488675,0.003066204,0.003065925,0.009943888
2013/1/10,75.620003,75.769997,75.220001,75.760002,68.561028,1403700,0.005718859,0.00477381,0.001464519,0.006911271,0.006911575,-0.012799775
2013/1/11,75.760002,75.800003,75.510002,75.769997,68.570076,1248500,0.001851349,0.000396014,0.003855371,0.00013193,0.00013197,-0.110564936
2013/1/14,75.75,75.800003,75.440002,75.690002,68.497681,2745100,-0.000132022,0,-0.00092703,-0.001055761,-0.001055781,1.198718462
2013/1/15,75.400002,75.889999,75.339996,75.830002,68.624367,1109100,-0.004620436,0.001187282,-0.001325636,0.00184965,0.001849493,-0.595971003
2013/1/16,75.68,75.910004,75.589996,75.769997,68.570076,1211300,0.003713501,0.000263605,0.003318291,-0.000791309,-0.000791133,0.092146786
2013/1/17,76.110001,76.5,76,76.290001,69.040657,1534800,0.005681831,0.007772309,0.005424051,0.006862928,0.006862775,0.267068439
2013/1/18,76.32,76.540001,76.040001,76.5,69.230682,2173800,0.002759151,0.000522889,0.000526329,0.002752641,0.002752364,0.416340891
2013/1/22,76.5,76.900002,76.330002,76.900002,69.592697,3583900,0.002358491,0.004703436,0.003813795,0.005228784,0.005229112,0.648679731
2013/1/23,76.93,77.080002,76.779999,76.989998,69.674149,2295000,0.005620915,0.002340702,0.005895414,0.001170299,0.00117041,-0.359636151
2013/1/24,76.919998,77.440002,76.860001,77.080002,69.755569,5386800,-0.000130014,0.004670472,0.001041964,0.001169035,0.001168583,1.347189542
2013/1/25,77.379997,77.529999,77.120003,77.510002,70.14473,2997100,0.005980226,0.001162151,0.0033828,0.005578619,0.005578924,-0.443621445
2013/1/28,77.599998,77.610001,77.150002,77.440002,70.08139,1634100,0.002843125,0.001031884,0.000388991,-0.000903109,-0.00090299,-0.454772947
2013/1/29,77.339996,77.769997,77.239998,77.699997,70.316666,2279300,-0.003350541,0.002061538,0.001166507,0.003357373,0.003357182,0.394835077
2013/1/30,77.690002,77.830002,77.269997,77.389999,70.036133,2074200,0.00452555,0.00077157,0.000388387,-0.003989678,-0.003989566,-0.089983767
2013/1/31,77.330002,77.5,77.150002,77.25,69.909431,2611300,-0.004633801,-0.004240036,-0.001552931,-0.001809006,-0.001809095,0.258943207
2013/2/1,77.779999,78.110001,77.610001,78,70.588181,2550000,0.005819177,0.007870981,0.005962398,0.009708738,0.00970899,-0.023474898
2013/2/4,77.639999,77.720001,77.129997,77.18,69.846085,2457700,-0.001799949,-0.004992959,-0.006184821,-0.010512821,-0.010513035,-0.036196078
2013/2/5,77.620003,78.110001,77.540001,77.910004,70.506721,1609800,-0.000257548,0.005018013,0.005315753,0.009458461,0.009458454,-0.344997355
2013/2/6,77.68,78.059998,77.599998,78.050003,70.633423,1739400,0.000772958,-0.000640161,0.000773755,0.001796932,0.00179702,0.080506895
2013/2/7,78.050003,78.129997,77.360001,77.910004,70.506721,2260100,0.004763169,0.000896733,-0.003092745,-0.001793709,-0.001793797,0.2993561
2013/2/8,78.029999,78.379997,78.010002,78.379997,70.932068,4399000,-0.000256297,0.003199795,0.008402288,0.006032512,0.006032716,0.946374054
