ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,79.32334899902344,-1,78.9307632446289,-1,78.82168579101562,1,78.82967376708984,1,78.83087921142578
51,-1,31.854469299316406,-1,31.759328842163086,-1,31.72402000427246,-1,31.716264724731445,-1,31.714067459106445
52,1,53.609619140625,-1,53.19845199584961,-1,53.02689743041992,1,53.02862548828125,1,53.03112030029297
53,1,34.249454498291016,-1,34.10516357421875,-1,34.06868362426758,-1,34.06145095825195,1,34.06285095214844
54,1,23.23665428161621,-1,23.220842361450195,-1,23.207386016845703,-1,23.20425033569336,-1,23.204145431518555
55,-1,16.960615158081055,-1,16.860435485839844,-1,16.81838607788086,-1,16.80154037475586,-1,16.797346115112305
56,-1,25.0471248626709,-1,24.904909133911133,-1,24.85131072998047,-1,24.83871841430664,-1,24.834836959838867
57,-1,48.66829299926758,-1,48.45147705078125,-1,48.404441833496094,-1,48.39431381225586,-1,48.392112731933594
58,1,45.126487731933594,-1,44.94797134399414,-1,44.90113830566406,-1,44.897708892822266,-1,44.89697265625
59,-1,41.23687744140625,-1,41.0267448425293,-1,40.89114761352539,-1,40.85844802856445,-1,40.84983444213867
6201,1,13.316793441772461,-1,13.255812644958496,-1,13.225171089172363,-1,13.222188949584961,-1,13.222006797790527
6203,1,37.04425811767578,-1,36.914093017578125,-1,36.841251373291016,-1,36.82906723022461,-1,36.82749557495117
6204,-1,52.06352233886719,-1,51.80950164794922,-1,51.688323974609375,-1,51.662681579589844,-1,51.654293060302734
6208,-1,45.60616683959961,-1,45.38151550292969,-1,45.33869934082031,-1,45.333641052246094,-1,45.332550048828125
690,-1,21.501415252685547,-1,21.478221893310547,1,21.484777450561523,1,21.487058639526367,1,21.48737907409668
692,1,20.910654067993164,-1,20.88216781616211,-1,20.865055084228516,-1,20.857349395751953,-1,20.854097366333008
701,-1,20.782407760620117,-1,20.67798614501953,-1,20.636947631835938,-1,20.630897521972656,1,20.631271362304688
713,1,30.27539825439453,-1,30.230846405029297,-1,30.22100257873535,-1,30.220523834228516,1,30.22104835510254
