ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1,81.72853088378906,-1,81.13494110107422,1,81.70494079589844,1,81.85850524902344,1,82.0516128540039
51,-1,33.19935989379883,-1,32.95911407470703,1,32.98063278198242,-1,32.936248779296875,-1,32.91245651245117
52,1,52.395076751708984,-1,51.515846252441406,1,51.750274658203125,-1,51.676551818847656,-1,51.65085983276367
53,1,36.30455780029297,-1,35.986289978027344,1,36.14026641845703,1,36.143280029296875,1,36.15650177001953
54,-1,24.155609130859375,-1,24.13633918762207,1,24.145986557006836,-1,24.123258590698242,-1,24.111160278320312
55,-1,17.357406616210938,-1,17.171276092529297,-1,17.12752342224121,-1,17.06597900390625,-1,17.03384780883789
56,1,26.5804443359375,-1,26.494245529174805,1,26.500720977783203,-1,26.48501968383789,-1,26.480201721191406
57,1,50.42753982543945,-1,49.79236602783203,1,49.92445755004883,-1,49.86173629760742,-1,49.838348388671875
58,1,47.677303314208984,-1,47.477867126464844,1,47.671573638916016,-1,47.67039108276367,-1,47.669063568115234
59,-1,41.875972747802734,-1,41.05051803588867,-1,40.94252395629883,-1,40.78389358520508,-1,40.69910430908203
6201,-1,14.187278747558594,-1,14.07590389251709,-1,14.066123962402344,-1,14.043670654296875,-1,14.032670974731445
6203,1,38.33176040649414,-1,37.94100570678711,1,38.0497932434082,-1,38.0108757019043,-1,38.000980377197266
6204,-1,54.43478775024414,-1,53.784088134765625,1,53.894493103027344,-1,53.815284729003906,-1,53.795623779296875
6208,1,48.16820526123047,-1,48.00439453125,1,48.24693298339844,1,48.28114318847656,1,48.306190490722656
690,-1,22.00802230834961,-1,21.937570571899414,-1,21.923830032348633,-1,21.90336036682129,1,21.906641006469727
692,1,21.27796173095703,1,21.374326705932617,1,21.40589141845703,1,21.420089721679688,1,21.438352584838867
701,-1,21.14928436279297,-1,21.084434509277344,-1,21.0762882232666,-1,21.055910110473633,-1,21.048078536987305
713,-1,30.981647491455078,-1,30.907855987548828,-1,30.860769271850586,-1,30.802141189575195,-1,30.762908935546875
