Code,Date,Close
53,20180427,34.2
53,20180426,34.03
53,20180425,34.49
53,20180424,34.7
53,20180423,34.97
53,20180420,35.3
53,20180419,36.25
53,20180418,35.94
53,20180417,36.02
53,20180416,36.2
53,20180413,36.46
53,20180412,36.27
53,20180411,36.58
53,20180410,36.33
53,20180409,36.04
53,20180403,36
53,20180402,36.62
53,20180331,36.52
53,20180330,36.66
53,20180329,36.36
53,20180328,36.49
53,20180327,36.89
53,20180326,36
53,20180323,36.4
53,20180322,37.11
53,20180321,37.04
53,20180320,37.16
53,20180319,37.09
53,20180316,37
53,20180315,37.1
53,20180314,37.19
53,20180313,37.38
53,20180312,37.04
53,20180309,36.55
53,20180308,36.43
53,20180307,36.2
53,20180306,36.08
53,20180305,35.7
53,20180302,35.45
53,20180301,35.9
53,20180227,36.26
53,20180226,36.09
53,20180223,35.68
53,20180222,35.38
53,20180221,35.6
53,20180212,35
53,20180209,34.22
53,20180208,35.39
53,20180207,35.56
53,20180206,34.8
53,20180205,36.53
53,20180202,37.49
53,20180201,37.55
53,20180131,37.7
53,20180130,37.7
53,20180129,37.51
53,20180126,37.36
53,20180125,37.5
53,20180124,37.25
53,20180123,37.86
53,20180122,37.71
53,20180119,37.23
53,20180118,36.9
53,20180117,36.3
53,20180116,36.07
53,20180115,35.93
53,20180112,35.72
53,20180111,35.6
53,20180110,35.46
53,20180109,35.9
53,20180108,36.12
53,20180105,36.07
53,20180104,36.05
53,20180103,36.05
53,20180102,35.36
53,20171229,35.33
53,20171228,34.94
53,20171227,34.52
53,20171226,34.87
53,20171225,34.86
53,20171222,35.09
53,20171221,35.19
53,20171220,34.9
53,20171219,34.89
53,20171218,35.02
53,20171215,35.02
53,20171214,35.3
53,20171213,35.2
53,20171212,35.29
53,20171211,35.33
53,20171208,34.7
53,20171207,34.61
53,20171206,34.78
53,20171205,35.6
53,20171204,36.08
53,20171201,35.55
53,20171130,36.1
53,20171129,36.65
53,20171128,36.77
53,20171127,36.98
53,20171124,37.29
53,20171123,37.4
53,20171122,38.5
53,20171121,37.99
53,20171120,38.03
53,20171117,38.33
53,20171116,37.53
53,20171115,37.5
53,20171114,38.13
53,20171113,38.02
53,20171110,38.08
53,20171109,38.52
53,20171108,38.65
53,20171107,38.92
53,20171106,38.38
53,20171103,38.64
53,20171102,38.64
53,20171101,38.51
53,20171031,38.6
53,20171030,38.33
53,20171027,38.3
53,20171026,38.12
53,20171025,38.2
53,20171024,38.46
53,20171023,38.49
53,20171020,38.41
53,20171019,38.28
53,20171018,37.97
53,20171017,38.03
53,20171016,38.17
53,20171013,37.86
53,20171012,37.81
53,20171011,37.56
53,20171006,37.15
53,20171005,36.9
53,20171003,37.07
53,20171002,36.61
53,20170930,36.24
53,20170929,36.02
53,20170928,35.86
53,20170927,35.9
53,20170926,35.85
53,20170925,36.11
53,20170922,36.77
53,20170921,36.88
53,20170920,36.8
53,20170919,37.1
53,20170918,37.16
53,20170915,36.83
53,20170914,37.01
53,20170913,36.79
53,20170912,37.04
53,20170911,36.89
53,20170908,36.92
53,20170907,36.95
53,20170906,36.95
53,20170905,37.11
53,20170904,37
53,20170901,36.91
53,20170831,36.87
53,20170830,36.75
53,20170829,36.51
53,20170828,36.62
53,20170825,36.68
53,20170824,36.55
53,20170823,36.45
53,20170822,36.16
53,20170821,35.84
53,20170818,35.7
53,20170817,36.27
53,20170816,35.73
53,20170815,36.08
53,20170814,35.8
53,20170811,35.88
53,20170810,35.98
53,20170809,36.46
53,20170808,37.08
53,20170807,36.81
53,20170804,36.45
53,20170803,36.36
53,20170802,36.58
53,20170801,36.21
53,20170731,36.1
53,20170728,36.13
53,20170727,36.5
53,20170726,36.1
53,20170725,36.3
53,20170724,36
53,20170721,35.94
53,20170720,36.13
53,20170719,36.14
53,20170718,35.92
53,20170717,35.78
53,20170714,35.72
53,20170713,35.9
53,20170712,35.56
53,20170711,35.48
53,20170710,34.9
53,20170707,34.77
53,20170706,35
53,20170705,35.03
53,20170704,34.9
53,20170703,34.95
53,20170630,34.88
53,20170629,35.7
53,20170628,35.59
53,20170627,35.6
53,20170626,35.69
53,20170623,35
53,20170622,35.03
53,20170621,34.8
53,20170620,34.88
53,20170619,34.4
53,20170616,33.93
53,20170615,33.52
53,20170614,33.75
53,20170613,33.76
53,20170612,33.99
53,20170609,34.33
53,20170608,34.23
53,20170607,34.1
53,20170606,34.13
53,20170605,34.2
53,20170603,34
53,20170602,33.75
53,20170601,33.59
53,20170531,33.5
53,20170526,33.5
53,20170525,33.56
53,20170524,33.38
53,20170523,33.36
53,20170522,33.11
