Code,Date,Close
6208,20180427,46
6208,20180426,46.09
6208,20180425,46.36
6208,20180424,46.5
6208,20180423,46.7
6208,20180420,47.17
6208,20180419,48.11
6208,20180418,47.52
6208,20180417,47.49
6208,20180416,48.27
6208,20180413,48.29
6208,20180412,48.22
6208,20180411,48.22
6208,20180410,48.09
6208,20180409,48.04
6208,20180403,47.8
6208,20180402,47.98
6208,20180331,48.14
6208,20180330,48.14
6208,20180329,47.77
6208,20180328,47.88
6208,20180327,48.17
6208,20180326,47.68
6208,20180323,47.7
6208,20180322,48.66
6208,20180321,48.66
6208,20180320,48.79
6208,20180319,48.93
6208,20180316,49.06
6208,20180315,49.13
6208,20180314,49.13
6208,20180313,49.15
6208,20180312,49.02
6208,20180309,47.78
6208,20180308,47.47
6208,20180307,47.47
6208,20180306,47.68
6208,20180305,47.3
6208,20180302,47.6
6208,20180301,47.6
6208,20180227,48.15
6208,20180226,48.42
6208,20180223,47.96
6208,20180222,47.32
6208,20180221,47.81
6208,20180212,46.92
6208,20180209,46.5
6208,20180208,46.78
6208,20180207,47.06
6208,20180206,46.46
6208,20180205,48.56
6208,20180202,49.08
6208,20180201,49.08
6208,20180131,49.08
6208,20180130,49
6208,20180129,49.07
6208,20180126,49.31
6208,20180125,49.54
6208,20180124,49.11
6208,20180123,49.88
6208,20180122,49.6
6208,20180119,49.6
6208,20180118,48.53
6208,20180117,47.9
6208,20180116,47.9
6208,20180115,47.63
6208,20180112,47.57
6208,20180111,46.9
6208,20180110,47.55
6208,20180109,47.38
6208,20180108,47.65
6208,20180105,47.02
6208,20180104,47.23
6208,20180103,47.23
6208,20180102,46.73
6208,20171229,46.66
6208,20171228,45.69
6208,20171227,45.69
6208,20171226,45.7
6208,20171225,45.99
6208,20171222,45.99
6208,20171221,45.98
6208,20171220,45.68
6208,20171219,45.68
6208,20171218,46.02
6208,20171215,46.02
6208,20171214,46.42
6208,20171213,45.9
6208,20171212,45.9
6208,20171211,45.73
6208,20171208,45.73
6208,20171207,45.37
6208,20171206,45.71
6208,20171205,46.81
6208,20171204,47.22
6208,20171201,46.8
6208,20171130,47.3
6208,20171129,49.13
6208,20171128,49.28
6208,20171127,49.77
6208,20171124,50
6208,20171123,50
6208,20171122,50.1
6208,20171121,49.85
6208,20171120,49.4
6208,20171117,49.4
6208,20171116,49.03
6208,20171115,49.15
6208,20171114,49.4
6208,20171113,49.4
6208,20171110,49.66
6208,20171109,49.81
6208,20171108,49.97
6208,20171107,49.9
6208,20171106,49.67
6208,20171103,49.9
6208,20171102,50
6208,20171101,50
6208,20171031,50.1
6208,20171030,50.15
6208,20171027,49.45
6208,20171026,49.66
6208,20171025,49.38
6208,20171024,49.38
6208,20171023,49.73
6208,20171020,49.73
6208,20171019,49.73
6208,20171018,49.5
6208,20171017,49.5
6208,20171016,49.65
6208,20171013,49.23
6208,20171012,49.3
6208,20171011,48.78
6208,20171006,48.35
6208,20171005,48.09
6208,20171003,47.78
6208,20171002,47.78
6208,20170930,47.46
6208,20170929,47.45
6208,20170928,47.27
6208,20170927,47.42
6208,20170926,47.25
6208,20170925,47.48
6208,20170922,48.02
6208,20170921,48.7
6208,20170920,48.44
6208,20170919,48.69
6208,20170918,48.88
6208,20170915,48.43
6208,20170914,48.63
6208,20170913,48.76
6208,20170912,48.89
6208,20170911,48.8
6208,20170908,48.81
6208,20170907,48.76
6208,20170906,48.67
6208,20170905,48.67
6208,20170904,49.5
6208,20170901,49.5
6208,20170831,48.72
6208,20170830,48.72
6208,20170829,48.72
6208,20170828,48.7
6208,20170825,48.5
6208,20170824,48.2
6208,20170823,47.96
6208,20170822,47.73
6208,20170821,47.6
6208,20170818,47.6
6208,20170817,47.67
6208,20170816,47.6
6208,20170815,47.61
6208,20170814,47.61
6208,20170811,47.78
6208,20170810,48.04
6208,20170809,48.58
6208,20170808,48.7
6208,20170807,52.9
6208,20170804,48.1
6208,20170803,47.96
6208,20170802,48.2
6208,20170801,47.52
6208,20170731,47.52
6208,20170728,47.68
6208,20170727,48.03
