Code,Date,Open,High,Low,Close,Volumn
00713,20170927,29.70,29.93,29.70,29.88,682
00713,20170928,29.90,29.95,29.82,29.84,716
00713,20170929,29.84,29.90,29.60,29.80,541
00713,20170930,29.84,29.95,29.84,29.92,115
00713,20171002,29.94,30.11,29.93,30.10,288
00713,20171003,30.10,30.42,30.10,30.40,413
00713,20171005,30.40,30.80,30.40,30.70,3507
00713,20171006,30.71,30.71,30.50,30.60,110
00713,20171011,30.70,30.81,30.63,30.75,3388
00713,20171012,30.74,30.75,30.66,30.72,181
00713,20171013,30.75,30.93,30.70,30.91,3380
00713,20171016,30.95,31.01,30.85,31.00,1750
00713,20171017,31.01,31.18,30.81,31.18,247
00713,20171018,31.05,31.05,30.76,30.83,527
00713,20171019,30.83,30.92,30.83,30.90,269
00713,20171020,30.87,30.90,30.70,30.85,107
00713,20171023,30.96,31.02,30.95,30.97,37
00713,20171024,30.97,31.10,30.97,31.07,255
00713,20171025,31.03,31.03,30.90,30.94,66
00713,20171026,30.94,30.94,30.86,30.91,87
00713,20171027,30.89,30.91,30.57,30.57,274
00713,20171030,30.75,30.75,30.57,30.61,46
00713,20171031,30.64,30.75,30.63,30.75,41
00713,20171101,30.78,30.78,30.70,30.76,64
00713,20171102,30.76,30.78,30.68,30.72,60
00713,20171103,30.76,30.76,30.64,30.69,58
00713,20171106,30.68,30.68,30.60,30.63,67
00713,20171107,30.70,30.70,30.65,30.70,47
00713,20171108,30.70,30.72,30.60,30.68,38
00713,20171109,30.68,30.75,30.53,30.58,108
00713,20171110,30.55,30.58,30.42,30.55,320
00713,20171113,30.60,30.60,30.45,30.45,54
00713,20171114,30.45,30.45,30.35,30.40,145
00713,20171115,30.39,30.54,30.33,30.54,166
00713,20171116,30.48,30.50,30.45,30.50,232
00713,20171117,30.69,30.69,30.60,30.60,35
00713,20171120,30.50,30.60,30.50,30.57,34
00713,20171121,30.66,30.70,30.66,30.70,30
00713,20171122,30.70,30.90,30.68,30.89,68
00713,20171123,30.96,31.05,30.96,31.05,43
00713,20171124,31.05,31.05,30.99,30.99,19
00713,20171127,31.00,31.00,30.80,30.84,15
00713,20171128,31.00,31.00,30.63,30.64,407
00713,20171129,30.67,30.67,30.58,30.58,191
00713,20171130,30.39,30.42,30.35,30.36,250
00713,20171201,30.41,30.53,30.15,30.46,177
00713,20171204,30.46,30.46,30.34,30.34,11
00713,20171205,30.50,30.50,30.26,30.32,24
00713,20171206,30.29,30.29,29.89,29.90,247
00713,20171207,29.90,29.94,29.78,29.86,142
00713,20171208,29.91,29.94,29.75,29.88,112
00713,20171211,30.08,30.10,30.08,30.08,15
00713,20171212,30.42,30.42,30.05,30.07,16
00713,20171213,30.13,30.13,30.12,30.12,107
00713,20171214,30.21,30.29,30.21,30.23,28
00713,20171215,30.05,30.05,30.00,30.01,63
00713,20171218,30.03,30.16,30.03,30.16,12
00713,20171219,30.28,30.28,30.07,30.10,10
00713,20171220,30.17,30.19,30.13,30.18,810
00713,20171221,30.12,30.16,30.07,30.14,860
00713,20171222,30.06,30.10,30.06,30.06,819
00713,20171225,30.45,30.45,30.04,30.04,813
00713,20171226,30.13,30.13,29.84,29.85,893
00713,20171227,29.85,30.07,29.84,30.07,847
00713,20171228,30.17,30.24,30.16,30.20,822
00713,20171229,30.44,30.44,30.16,30.16,851
00713,20180102,30.21,30.45,30.16,30.45,218
00713,20180103,30.50,30.60,30.45,30.60,357
00713,20180104,30.60,30.63,30.50,30.60,422
00713,20180105,30.60,30.66,30.60,30.64,41
00713,20180108,30.64,30.83,30.64,30.82,71
00713,20180109,30.82,30.83,30.70,30.79,232
00713,20180110,30.80,30.83,30.70,30.70,138
00713,20180111,30.77,30.77,30.71,30.71,24
00713,20180112,30.88,31.00,30.88,30.91,80
00713,20180115,30.90,31.06,30.90,31.05,65
00713,20180116,31.05,31.12,31.05,31.10,135
00713,20180117,31.10,31.12,31.07,31.07,88
00713,20180118,31.30,31.35,31.16,31.16,38
00713,20180119,31.16,31.31,31.16,31.25,160
00713,20180122,31.20,31.22,31.13,31.22,128
00713,20180123,31.37,31.37,31.10,31.10,119
00713,20180124,31.10,31.10,31.02,31.07,38
00713,20180125,31.16,31.30,31.14,31.14,44
00713,20180126,31.19,31.19,31.06,31.12,14
00713,20180129,31.37,31.40,31.27,31.30,30
00713,20180130,31.28,31.28,31.02,31.02,8
00713,20180131,30.76,30.99,30.76,30.97,11
00713,20180201,31.00,31.20,31.00,31.11,40
00713,20180202,31.20,31.20,30.96,30.96,8
00713,20180205,30.41,30.52,30.40,30.50,14
00713,20180206,30.02,30.50,29.36,29.79,1462
00713,20180207,30.00,30.18,29.99,29.99,140
00713,20180208,30.10,30.10,30.10,30.10,61
00713,20180209,30.00,30.00,29.44,29.86,252
00713,20180212,29.99,30.01,29.94,29.98,31
00713,20180221,30.45,30.45,30.29,30.39,66
00713,20180222,30.45,30.55,30.20,30.20,1709
00713,20180223,30.55,30.55,30.41,30.46,1814
00713,20180226,30.65,30.69,30.57,30.62,3528
00713,20180227,31.50,31.50,30.61,30.62,3524
00713,20180301,30.62,30.71,30.40,30.66,3521
00713,20180302,30.29,30.49,30.29,30.35,3502
00713,20180305,30.48,30.48,30.20,30.25,1042
00713,20180306,30.28,30.30,30.27,30.28,28
00713,20180307,30.28,30.41,30.28,30.40,11
00713,20180308,30.33,30.50,30.33,30.50,8
00713,20180309,30.50,30.50,30.29,30.30,3541
00713,20180312,30.53,30.64,30.53,30.55,5221
00713,20180313,30.65,30.77,30.64,30.68,3335
00713,20180314,30.73,30.73,30.58,30.61,3304
00713,20180315,30.62,30.63,30.61,30.61,5
00713,20180316,30.61,30.62,30.57,30.62,7
00713,20180319,30.39,30.70,30.39,30.69,3321
00713,20180320,30.60,30.76,30.60,30.65,5432
00713,20180321,30.77,30.82,30.74,30.74,3345
00713,20180322,30.83,30.92,30.61,30.64,3305
00713,20180323,30.64,30.64,30.27,30.30,90
00713,20180326,29.23,30.45,29.23,30.45,88
00713,20180327,30.45,30.75,30.12,30.75,11
00713,20180328,30.65,30.65,30.51,30.60,10
00713,20180329,30.42,30.59,30.42,30.45,11
00713,20180330,30.69,30.69,30.65,30.65,2
00713,20180331,30.70,30.75,30.70,30.75,14
00713,20180402,30.85,30.91,30.80,30.87,64
00713,20180403,29.97,30.66,29.97,30.56,19
00713,20180409,30.73,30.86,30.73,30.86,27
00713,20180410,30.87,30.94,30.83,30.86,25
00713,20180411,30.97,31.00,30.93,30.93,19
00713,20180412,31.00,31.00,30.93,30.93,4
00713,20180413,31.01,31.08,30.92,30.95,34
00713,20180416,30.95,30.95,30.83,30.88,8
00713,20180417,31.03,31.03,30.66,30.66,8
00713,20180418,30.70,30.70,30.70,30.70,4
00713,20180419,30.80,30.89,30.80,30.88,13
00713,20180420,30.84,30.84,30.84,30.84,2
00713,20180423,30.84,30.84,30.75,30.75,7
00713,20180424,30.59,30.59,30.30,30.44,18
00713,20180425,30.33,30.39,30.18,30.26,22
00713,20180426,30.33,30.34,30.12,30.12,177
00713,20180427,30.29,30.29,30.12,30.12,7
00713,20180430,30.40,30.40,30.30,30.32,21
00713,20180502,30.39,30.43,30.39,30.43,13
00713,20180503,30.43,30.44,30.26,30.33,32
00713,20180504,30.25,30.30,30.19,30.30,346
00713,20180507,30.31,30.35,30.25,30.34,245
00713,20180508,30.41,30.41,30.34,30.34,7
00713,20180509,30.41,30.47,30.41,30.47,23
00713,20180510,30.47,30.47,30.47,30.47,1
00713,20180511,30.73,30.74,30.73,30.74,11
00713,20180514,30.78,30.85,30.78,30.85,38
00713,20180515,30.72,30.82,30.72,30.80,9
00713,20180516,30.73,30.82,30.73,30.80,116
00713,20180517,30.95,30.97,30.89,30.92,27
00713,20180518,30.95,30.96,30.92,30.96,11
00713,20180521,31.02,31.12,31.02,31.12,29
00713,20180522,31.13,31.15,31.10,31.10,32
00713,20180523,31.05,31.16,30.96,30.96,6
00713,20180524,30.97,31.00,30.97,31.00,26
00713,20180525,30.98,31.00,30.98,31.00,6
