ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1,81.4941635131836,-1,80.90347290039062,1,81.17513275146484,-1,81.14055633544922,1,81.15435791015625
51,-1,32.66411209106445,-1,32.63806915283203,1,32.66337203979492,-1,32.63835525512695,-1,32.62136459350586
52,-1,52.607666015625,-1,51.4733772277832,1,51.66902160644531,-1,51.55014419555664,-1,51.51070022583008
53,1,35.836204528808594,-1,35.48541259765625,1,35.568077087402344,-1,35.51298141479492,-1,35.48316955566406
54,-1,23.672578811645508,-1,23.606853485107422,-1,23.595500946044922,-1,23.576553344726562,-1,23.570663452148438
55,-1,17.216527938842773,-1,17.152482986450195,-1,17.11167335510254,-1,17.063093185424805,-1,17.027244567871094
56,-1,25.406190872192383,-1,25.339235305786133,-1,25.315196990966797,-1,25.283639907836914,-1,25.26402473449707
57,-1,49.857120513916016,-1,49.07732391357422,1,49.09851837158203,-1,48.98164749145508,-1,48.91368103027344
58,-1,46.77027130126953,-1,46.43549346923828,1,46.50996017456055,-1,46.46358108520508,-1,46.44778060913086
59,-1,42.31808090209961,-1,42.029518127441406,-1,41.92472839355469,-1,41.79755783081055,-1,41.729713439941406
6201,-1,13.896673202514648,1,13.925905227661133,1,13.948995590209961,-1,13.947739601135254,-1,13.94694995880127
6203,1,37.95719909667969,-1,37.54432678222656,1,37.6434440612793,-1,37.59729766845703,-1,37.58036422729492
6204,-1,53.5566291809082,-1,53.1861457824707,1,53.209251403808594,-1,53.12313461303711,-1,53.07926940917969
6208,-1,47.68026351928711,-1,47.52452850341797,1,47.73194885253906,1,47.76899719238281,1,47.8150749206543
690,-1,21.62728500366211,-1,21.610525131225586,-1,21.605709075927734,-1,21.595735549926758,1,21.604650497436523
692,-1,21.151599884033203,1,21.291105270385742,1,21.331144332885742,1,21.352014541625977,1,21.370500564575195
701,-1,20.815214157104492,1,20.864988327026367,-1,20.842395782470703,-1,20.814035415649414,-1,20.794269561767578
713,-1,30.46882438659668,1,30.49116325378418,-1,30.49115562438965,1,30.4952335357666,1,30.507524490356445
